id,date,workout,duration,distance,pace,category,user_id
102,2017-04-12,Chest,50,0.0,0.0,chest,1
103,2017-04-13,Back,46,0.0,0.0,back,1
104,2017-04-14,Compound,36,0.0,0.0,compound,1
105,2017-04-15,Cardio,56,0.0,0.0,cardio,1
106,2017-04-16,Rest,0,0.0,0.0,rest,1
107,2017-04-17,Running,41,8.04,5.06,cardio,1
108,2017-04-18,Compound,50,0.0,0.0,compound,1
109,2017-04-19,Back,50,0.0,0.0,back,1
110,2017-04-20,Compound,46,0.0,0.0,compound,1
111,2017-04-21,Chest,38,0.0,0.0,chest,1
112,2017-04-22,Compound,45,0.0,0.0,compound,1
113,2017-04-23,Running,25,5.34,4.41,cardio,1
114,2017-04-24,Rest,0,0.0,0.0,rest,1
115,2017-04-25,Back,49,0.0,0.0,back,1
116,2017-04-26,Chest,37,0.0,0.0,chest,1
117,2017-04-27,Running,36,7.53,4.47,cardio,1
118,2017-04-28,Back,40,0.0,0.0,back,1
119,2017-04-29,Chest,42,0.0,0.0,chest,1
120,2017-04-30,Running,36,7.62,4.43,cardio,1
121,2017-05-01,Chest,41,0.0,0.0,chest,1
122,2017-05-02,Running,36,7.32,4.55,cardio,1
123,2017-05-03,Back,51,0.0,0.0,back,1
124,2017-05-04,Chest,40,0.0,0.0,chest,1
125,2017-05-05,Running,37,7.61,4.52,cardio,1
126,2017-05-06,Back,44,0.0,0.0,back,1
127,2017-05-07,Chest,39,0.0,0.0,chest,1
128,2017-05-08,Back,41,0.0,0.0,back,1
129,2017-05-09,Running,36,7.41,4.51,cardio,1
130,2017-05-10,Legs,48,0.0,0.0,legs,1
131,2017-05-11,Running,30,5.53,5.25,cardio,1
132,2017-05-12,Chest,46,0.0,0.0,chest,1
133,2017-05-13,Back,34,0.0,0.0,back,1
134,2017-05-14,Compound,43,0.0,0.0,compound,1
135,2017-05-15,Chest,39,0.0,0.0,chest,1
136,2017-05-16,Running,32,6.33,4.54,cardio,1
137,2017-05-17,Back,50,0.0,0.0,back,1
138,2017-05-18,Running,39,8.1,4.49,cardio,1
139,2017-05-19,Compound,50,0.0,0.0,compound,1
140,2017-05-20,Legs,50,0.0,0.0,legs,1
141,2017-05-21,Compound,52,0.0,0.0,compound,1
142,2017-05-22,Chest,48,0.0,0.0,chest,1
143,2017-05-23,Running,33,6.82,4.5,cardio,1
144,2017-05-24,Back,43,0.0,0.0,back,1
145,2017-05-25,Running,37,7.72,4.48,cardio,1
146,2017-05-26,Compound,43,0.0,0.0,compound,1
147,2017-05-27,Legs,50,0.0,0.0,legs,1
148,2017-05-28,Compound,44,0.0,0.0,compound,1
149,2017-05-29,Chest,37,0.0,0.0,chest,1
150,2017-05-30,Running,34,6.83,4.59,cardio,1
151,2017-05-31,Back,42,0.0,0.0,back,1
152,2017-06-01,Compound,44,0.0,0.0,compound,1
153,2017-06-02,Chest,39,0.0,0.0,chest,1
154,2017-06-03,Back,33,0.0,0.0,back,1
155,2017-06-04,Legs,37,0.0,0.0,legs,1
156,2017-06-05,Compound,41,0.0,0.0,compound,1
157,2017-06-06,Chest,45,0.0,0.0,chest,1
158,2017-06-07,Back,34,0.0,0.0,back,1
159,2017-06-08,Legs,23,0.0,0.0,legs,1
160,2017-06-09,Compound,34,0.0,0.0,compound,1
161,2017-06-10,Chest,36,0.0,0.0,chest,1
162,2017-06-11,Back,36,0.0,0.0,back,1
163,2017-06-12,Legs,25,0.0,0.0,legs,1
164,2017-06-13,Compound,39,0.0,0.0,compound,1
165,2017-06-14,Rest,0,0.0,0.0,rest,1
166,2017-06-15,Chest,36,0.0,0.0,chest,1
167,2017-06-16,Back,45,0.0,0.0,back,1
168,2017-06-17,Legs,23,0.0,0.0,legs,1
169,2017-06-18,Compound,40,0.0,0.0,compound,1
170,2017-06-19,Back,37,0.0,0.0,back,1
171,2017-06-20,Rest,0,0.0,0.0,rest,1
172,2017-06-21,Rest,0,0.0,0.0,rest,1
173,2017-06-22,Back,39,0.0,0.0,back,1
174,2017-06-23,Chest,39,0.0,0.0,chest,1
175,2017-06-24,Back,44,0.0,0.0,back,1
176,2017-06-25,Compound,45,0.0,0.0,compound,1
177,2017-06-26,Chest,37,0.0,0.0,chest,1
178,2017-06-27,Back,50,0.0,0.0,back,1
179,2017-06-28,Compound,92,0.0,0.0,compound,1
180,2017-06-29,Compound,47,0.0,0.0,compound,1
181,2017-06-30,Chest,51,0.0,0.0,chest,1
182,2017-07-01,Compound,54,0.0,0.0,compound,1
183,2017-07-02,Back,35,0.0,0.0,back,1
184,2017-07-03,Chest,53,0.0,0.0,chest,1
185,2017-07-04,Back,45,0.0,0.0,back,1
186,2017-07-05,Chest,66,0.0,0.0,chest,1
187,2017-07-06,Back,67,0.0,0.0,back,1
188,2017-07-07,Chest,81,0.0,0.0,chest,1
189,2017-07-08,Back,59,0.0,0.0,back,1
190,2017-07-09,Rest,0,0.0,0.0,rest,1
191,2017-07-10,Chest,79,0.0,0.0,chest,1
192,2017-07-11,Back,59,0.0,0.0,back,1
193,2017-07-12,Legs and Core,90,0.0,0.0,legs,1
194,2017-07-13,Chest,72,0.0,0.0,chest,1
195,2017-07-14,Back,58,0.0,0.0,back,1
196,2017-07-15,Compound,52,0.0,0.0,compound,1
197,2017-07-16,Rest,0,0.0,0.0,rest,1
198,2017-07-17,Chest,113,0.0,0.0,chest,1
199,2017-07-18,Back,118,0.0,0.0,back,1
200,2017-07-19,Chest,82,0.0,0.0,chest,1
201,2017-07-20,Back,109,0.0,0.0,back,1
202,2017-07-21,Compound,92,0.0,0.0,compound,1
203,2017-07-22,Compound,35,0.0,0.0,compound,1
204,2017-07-23,Rest,0,0.0,0.0,rest,1
205,2017-07-24,Back,106,0.0,0.0,back,1
206,2017-07-25,Chest,105,0.0,0.0,chest,1
207,2017-07-26,Back,53,0.0,0.0,back,1
208,2017-07-27,Chest,82,0.0,0.0,chest,1
209,2017-07-28,Back,103,0.0,0.0,back,1
210,2017-07-29,Chest,65,0.0,0.0,chest,1
211,2017-07-30,Cycling,116,0.0,0.0,cardio,1
